92-U-233(n,total fission) ENDF/B-VII.1
97.7365,57.1313
97.7855,69.3229
97.8506,91.2943
97.9755,139.623
98.0327,152.583
98.0636,154.563
98.1174,148.786
98.1775,130.899
98.3026,82.6975
98.3527,68.2371
98.4028,58.4024
98.4528,52.7973
98.4979,50.7125
98.5179,50.5278
98.573,51.9328
98.6556,57.8224
98.7697,67.223
98.8329,69.098
98.9037,66.4221
99.0057,55.9284
99.1014,45.4789
99.1628,40.9418
99.2323,38.3579
99.2705,37.9556
99.3469,38.7636
99.5829,45.0298
99.6676,45.6255
99.7325,45.5809
99.8575,46.8497
99.9567,51.0784
100.11,59.8861
100.175,61.2823
100.247,59.5826
100.338,52.802
100.534,32.589
100.619,25.9158
100.705,20.9238
100.789,17.487
100.89,14.5953
101.005,12.3219
101.139,10.4479
101.327,8.6507
101.564,7.14884
101.774,6.24131
101.989,5.62659
102.14,5.40049
102.215,5.37024
102.366,5.55873
102.474,6.02719
102.552,6.69012
102.611,7.48638
102.672,8.73851
102.732,10.5918
102.788,13.1517
102.845,16.7061
102.915,22.58
103.063,37.0943
103.12,40.6521
103.173,41.6885
103.215,40.6856
103.28,36.3988
103.453,18.7375
103.509,14.201
103.561,10.9537
103.611,8.69174
103.661,7.08093
103.712,5.92609
103.767,5.09851
103.822,4.55602
103.88,4.19618
103.959,3.95769
103.999,3.92644
104.089,4.04914
104.18,4.46021
104.26,5.12855
104.341,6.15842
104.421,7.60803
104.51,9.71581
104.604,12.6169
104.696,16.4436
104.808,22.5425
104.937,29.9176
105.022,32.7154
105.074,33.1047
105.168,31.5462
105.454,20.9282
105.551,18.2701
105.623,17.0703
105.684,16.8032
105.744,17.5373
105.791,19.1468
105.839,22.0481
105.886,26.6206
105.933,33.1413
105.996,44.7939
106.128,72.8705
106.196,82.323
106.256,85.1349
106.356,81.257
106.462,76.6584
106.474,76.6022
106.553,79.054
106.772,95.8197
106.875,98.2511
107.161,94.5104
107.254,89.0146
107.343,76.8518
107.499,48.5576
107.557,40.7095
107.606,36.02
107.656,33.1364
107.725,31.6286
107.735,31.6148
107.784,32.1765
107.864,34.8866
108.089,46.786
108.185,48.5526
108.274,47.1707
108.621,33.0481
108.733,30.1161
108.839,28.7395
108.892,28.5947
109.011,29.7582
109.097,32.24
109.166,35.6822
109.247,41.8045
109.33,51.2524
109.458,70.8473
109.567,86.8584
109.646,92.3017
109.668,92.499
109.735,89.3184
109.828,77.5244
109.969,55.9104
110.033,48.935
110.099,44.2604
110.172,41.5883
110.399,37.2508
110.533,34.0428
110.558,33.8843
110.623,34.8762
110.687,38.3879
110.749,44.8612
110.819,55.8292
110.913,76.3049
111.024,102.415
111.092,113.961
111.157,118.314
111.213,115.967
111.281,106.476
111.491,59.8083
111.563,47.2114
111.632,38.1588
111.702,31.6418
111.775,26.967
111.859,23.43
111.932,21.5522
112.029,20.2528
112.096,20.0169
112.223,20.9351
112.337,23.233
112.494,28.4731
112.719,36.9096
112.842,39.8541
113.031,41.3692
113.295,42.1409
113.483,44.7165
113.97,56.4027
114.326,61.2048
114.475,67.6623
114.709,85.1156
114.785,87.169
114.858,84.4352
114.946,74.8004
115.16,39.0874
115.229,29.798
115.286,23.7912
115.347,19.0541
115.407,15.6444
115.476,12.9786
115.548,11.2122
115.62,10.2145
115.688,9.88438
115.758,10.1837
115.832,11.2184
116.002,15.1332
116.075,15.9936
116.091,16.0249
116.153,15.5685
116.254,13.4281
116.347,11.217
116.417,10.0706
116.504,9.39509
116.533,9.31964
116.649,9.45001
116.989,10.8876
117.142,12.1909
117.252,13.8223
