94-Pu-242(n,total fission) ENDF/B-VII.1
302.468,0.01865
302.529,0.0219475
302.583,0.0260288
302.634,0.0316701
302.678,0.0388868
302.716,0.047681
302.755,0.0600046
302.787,0.0740226
302.818,0.0926238
302.852,0.118326
302.883,0.150166
302.919,0.198087
302.954,0.261454
302.991,0.34559
303.029,0.460047
303.071,0.622187
303.116,0.841612
303.167,1.15763
303.23,1.65026
303.341,2.69267
303.445,3.65864
303.522,4.16165
303.597,4.34362
303.6,4.34383
303.673,4.17805
303.747,3.72028
303.863,2.65395
303.967,1.66997
304.032,1.16531
304.083,0.84813
304.128,0.627627
304.17,0.464496
304.208,0.349205
304.243,0.268292
304.278,0.203386
304.314,0.154204
304.345,0.122058
304.375,0.0972376
304.407,0.0775177
304.439,0.0626374
304.477,0.049548
304.515,0.040212
304.56,0.0325665
304.61,0.0267388
304.656,0.0229515
304.717,0.019344
304.793,0.016184
304.885,0.0134872
305.008,0.0109249
305.15,0.00880899
305.303,0.00718113
305.482,0.00580859
305.686,0.00468485
305.908,0.00380148
306.16,0.00307998
306.438,0.00250338
306.762,0.00202104
307.117,0.00164336
307.503,0.00134546
307.966,0.00108991
308.506,8.79833E-4
309.062,7.28885E-4
309.649,6.16201E-4
310.39,5.19035E-4
311.254,4.48246E-4
311.872,4.17757E-4
312.613,4.00196E-4
312.984,3.98614E-4
313.725,4.10774E-4
314.466,4.47755E-4
315.129,5.1102E-4
315.724,6.05399E-4
316.148,7.07668E-4
316.55,8.47154E-4
316.915,0.00103059
317.245,0.00127112
317.522,0.00156191
317.769,0.00192915
317.986,0.00238459
318.163,0.00290676
318.325,0.00356712
318.473,0.00441358
318.603,0.00546139
318.714,0.00673457
318.807,0.00823068
318.884,0.00996316
318.961,0.012391
319.023,0.0150861
319.085,0.0187528
319.147,0.0237681
319.205,0.0302066
319.261,0.0382274
319.323,0.0498039
319.392,0.0666715
319.468,0.0898476
319.605,0.141511
319.736,0.189374
319.826,0.210519
319.9,0.216361
319.989,0.207875
320.079,0.184296
320.332,0.0896912
